AvgFitness=1.0988e-05 StdDev=1.39215e-06
AvgFitness=1.10754e-05 StdDev=1.37387e-06
AvgFitness=1.10623e-05 StdDev=1.44427e-06
AvgFitness=1.10382e-05 StdDev=1.47078e-06
AvgFitness=1.10771e-05 StdDev=1.48226e-06
AvgFitness=1.10934e-05 StdDev=1.48827e-06
AvgFitness=1.11913e-05 StdDev=1.50591e-06
AvgFitness=1.12413e-05 StdDev=1.51151e-06
AvgFitness=1.11461e-05 StdDev=1.51807e-06
AvgFitness=1.11564e-05 StdDev=1.54638e-06
AvgFitness=1.1172e-05 StdDev=1.53809e-06
AvgFitness=1.11711e-05 StdDev=1.46704e-06
AvgFitness=1.12471e-05 StdDev=1.4453e-06
AvgFitness=1.12002e-05 StdDev=1.42558e-06
AvgFitness=1.11867e-05 StdDev=1.37365e-06
AvgFitness=1.11178e-05 StdDev=1.29727e-06
AvgFitness=1.11087e-05 StdDev=1.30586e-06
AvgFitness=1.113e-05 StdDev=1.3418e-06
AvgFitness=1.11946e-05 StdDev=1.34951e-06
AvgFitness=1.11923e-05 StdDev=1.32998e-06
AvgFitness=1.11812e-05 StdDev=1.38698e-06
AvgFitness=1.11538e-05 StdDev=1.40103e-06
AvgFitness=1.11223e-05 StdDev=1.44774e-06
AvgFitness=1.11442e-05 StdDev=1.51063e-06
AvgFitness=1.11897e-05 StdDev=1.55379e-06
AvgFitness=1.12124e-05 StdDev=1.57075e-06
AvgFitness=1.12495e-05 StdDev=1.55449e-06
AvgFitness=1.12328e-05 StdDev=1.55716e-06
AvgFitness=1.12701e-05 StdDev=1.52484e-06
AvgFitness=1.12627e-05 StdDev=1.49338e-06
AvgFitness=1.12645e-05 StdDev=1.47584e-06
AvgFitness=1.12712e-05 StdDev=1.47334e-06
AvgFitness=1.12637e-05 StdDev=1.49514e-06
AvgFitness=1.13009e-05 StdDev=1.51749e-06
AvgFitness=1.12947e-05 StdDev=1.53215e-06
AvgFitness=1.13852e-05 StdDev=1.5021e-06
AvgFitness=1.1361e-05 StdDev=1.49698e-06
AvgFitness=1.13743e-05 StdDev=1.44626e-06
AvgFitness=1.13568e-05 StdDev=1.40617e-06
AvgFitness=1.13014e-05 StdDev=1.37223e-06
AvgFitness=1.12931e-05 StdDev=1.35781e-06
AvgFitness=1.13059e-05 StdDev=1.36692e-06
AvgFitness=1.12892e-05 StdDev=1.41229e-06
AvgFitness=1.13034e-05 StdDev=1.44317e-06
AvgFitness=1.13824e-05 StdDev=1.48276e-06
AvgFitness=1.13522e-05 StdDev=1.46486e-06
AvgFitness=1.13272e-05 StdDev=1.46608e-06
AvgFitness=1.13225e-05 StdDev=1.48142e-06
AvgFitness=1.13107e-05 StdDev=1.52614e-06
AvgFitness=1.13857e-05 StdDev=1.53783e-06
AvgFitness=1.13636e-05 StdDev=1.50041e-06
AvgFitness=1.13913e-05 StdDev=1.47052e-06
AvgFitness=1.13964e-05 StdDev=1.46619e-06
AvgFitness=1.13689e-05 StdDev=1.49117e-06
AvgFitness=1.14091e-05 StdDev=1.47666e-06
AvgFitness=1.14819e-05 StdDev=1.47141e-06
AvgFitness=1.14278e-05 StdDev=1.41287e-06
AvgFitness=1.13213e-05 StdDev=1.40846e-06
AvgFitness=1.13364e-05 StdDev=1.43947e-06
AvgFitness=1.14006e-05 StdDev=1.42493e-06
AvgFitness=1.13726e-05 StdDev=1.47177e-06
AvgFitness=1.14588e-05 StdDev=1.49282e-06
AvgFitness=1.14096e-05 StdDev=1.4848e-06
AvgFitness=1.1412e-05 StdDev=1.46748e-06
AvgFitness=1.14271e-05 StdDev=1.47922e-06
AvgFitness=1.1342e-05 StdDev=1.4523e-06
AvgFitness=1.13545e-05 StdDev=1.44777e-06
AvgFitness=1.13855e-05 StdDev=1.47969e-06
AvgFitness=1.13872e-05 StdDev=1.49058e-06
AvgFitness=1.13989e-05 StdDev=1.51907e-06
AvgFitness=1.14057e-05 StdDev=1.53786e-06
AvgFitness=1.14436e-05 StdDev=1.54943e-06
AvgFitness=1.15065e-05 StdDev=1.53698e-06
AvgFitness=1.1479e-05 StdDev=1.53205e-06
AvgFitness=1.1465e-05 StdDev=1.50877e-06
AvgFitness=1.14424e-05 StdDev=1.51254e-06
AvgFitness=1.14045e-05 StdDev=1.51267e-06
AvgFitness=1.14315e-05 StdDev=1.51546e-06
AvgFitness=1.14238e-05 StdDev=1.52761e-06
AvgFitness=1.15421e-05 StdDev=1.52221e-06
AvgFitness=1.15702e-05 StdDev=1.53395e-06
AvgFitness=1.16075e-05 StdDev=1.57586e-06
AvgFitness=1.15992e-05 StdDev=1.59353e-06
AvgFitness=1.16174e-05 StdDev=1.59997e-06
AvgFitness=1.16036e-05 StdDev=1.6431e-06
AvgFitness=1.16692e-05 StdDev=1.59036e-06
AvgFitness=1.16515e-05 StdDev=1.54395e-06
AvgFitness=1.16743e-05 StdDev=1.58809e-06
AvgFitness=1.17125e-05 StdDev=1.58113e-06
AvgFitness=1.16291e-05 StdDev=1.59299e-06
AvgFitness=1.16386e-05 StdDev=1.5766e-06
AvgFitness=1.16793e-05 StdDev=1.61811e-06
AvgFitness=1.15595e-05 StdDev=1.60809e-06
AvgFitness=1.15519e-05 StdDev=1.58774e-06
AvgFitness=1.1696e-05 StdDev=1.63947e-06
AvgFitness=1.16973e-05 StdDev=1.67452e-06
AvgFitness=1.16763e-05 StdDev=1.64713e-06
AvgFitness=1.17941e-05 StdDev=1.62811e-06
AvgFitness=1.19741e-05 StdDev=1.59585e-06
AvgFitness=1.2048e-05 StdDev=1.63761e-06
AvgFitness=1.21188e-05 StdDev=1.65984e-06
AvgFitness=1.21901e-05 StdDev=1.64605e-06
AvgFitness=1.21993e-05 StdDev=1.63129e-06
AvgFitness=1.22321e-05 StdDev=1.57622e-06
AvgFitness=1.22074e-05 StdDev=1.60164e-06
AvgFitness=1.22306e-05 StdDev=1.58451e-06
AvgFitness=1.22762e-05 StdDev=1.58675e-06
AvgFitness=1.21525e-05 StdDev=1.55944e-06
AvgFitness=1.21776e-05 StdDev=1.59401e-06
AvgFitness=1.22432e-05 StdDev=1.62815e-06
AvgFitness=1.22107e-05 StdDev=1.62106e-06
AvgFitness=1.2273e-05 StdDev=1.61986e-06
AvgFitness=1.23081e-05 StdDev=1.69003e-06
AvgFitness=1.22812e-05 StdDev=1.65363e-06
AvgFitness=1.23078e-05 StdDev=1.66039e-06
AvgFitness=1.22427e-05 StdDev=1.71305e-06
AvgFitness=1.22512e-05 StdDev=1.7069e-06
AvgFitness=1.22714e-05 StdDev=1.71085e-06
AvgFitness=1.23939e-05 StdDev=1.74096e-06
AvgFitness=1.23828e-05 StdDev=1.68107e-06
AvgFitness=1.24104e-05 StdDev=1.61844e-06
AvgFitness=1.24049e-05 StdDev=1.60551e-06
AvgFitness=1.24766e-05 StdDev=1.63497e-06
AvgFitness=1.25234e-05 StdDev=1.68916e-06
AvgFitness=1.25372e-05 StdDev=1.65663e-06
